Game,Roll,Me,Subject,Speaking Player,Count,Dice #,Successfull Challenge?
,,3,1,,,,
,2,1,,Subject,1,2,
,,2,2,Me,2,2,
,,,1,Subject,3,2,
,,,,Me,4,2,No
,,1,,,,,
,,1,1,,,,
,3,1,1,Subject,1,1,
,,1,,Me,2,1,
,,2,,Subject,3,1,
,,,,Me,1,2,
,,,1,Subject,1,5,
,,1,1,Me,1,6,
,,,,Subject,2,6,
,,,,Me,3,3,Yes
,4,1,,Me,1,1,
,,,1,Subject,2,1,Yes
,,2,,,,,
,,,,,,,
,,,1,,,,
,,1,1,,,,
,5,3,1,Subject,1,1,
,,1,1,Me,2,1,
,,,,Subject,2,2,
,,,,Me,3,2,
,,,,Subject,1,3,Yes
,6,,1,Subject,1,1,No
,,,,,,,
,,,,,,,
,,2,,,,,
,,,,,,,
,,2,,,,,
,7,1,,Me,1,1,
,,,,Subject,2,2,Yes
,,1,,,,,
,,,,,,,
,,,,,,,
,,1,1,,,,
5,1,1,2,Subject,2,1,
,,2,2,Me,3,1,
,,1,,Subject,4,1,
,,,,Me,5,1,Yes
,,1,1,,,,
,,,,,,,
,2,,3,Me,1,2,
,,1,,Subject,3,1,
,,,,Me,2,2,
,,2,,Subject,3,2,
,,1,1,Me,2,4,
,,,1,Subject,3,4,
,,,,Me,3,5,Yes
,3,,,Me,1,3,
,,,2,Subject,2,3,
,,1,1,Me,3,3,Yes
,,1,1,,,,
,,1,1,,,,
,,,,,,,
,4,,,Me,1,3,
,,,3,Subject,2,2,
,,1,,Me,3,2,
,,,2,Subject,4,2,
,,1,,Me,1,4,
,,,,Subject,2,4,No
,5,,,Me,1,1,
,,,2,Subject,2,2,
,,1,,Me,3,2,yes
,,,1,,,,
,,,,,,,
,,,2,,,,
6,1,1,,Me,1,1,
,,,3,Subject,2,1,
,,1,1,Me,1,2,
,,1,1,Subject,3,2,No
,,1,,,,,
,,1,,,,,
,2,1,1,Me,1,1,
,,,1,Subject,2,1,
,,1,,Me,1,3,
,,,2,Subject,2,3,Yes
,,2,1,,,,
,,,,,,,
,3,1,1,Subject,1,1,
,,1,1,Me,2,1,
,,,,Subject,3,1,
,,,,Me,4,1,Yes
,,,,,,,
,,2,2,,,,
,4,,,Me,1,1,Yes
,,,,,,,
,,1,1,,,,
,,1,,,,,
,,1,1,,,,
,,,2,,,,
,5,,1,Me,1,1,
,,,1,Subject,2,1,
,,,,Me,1,3,
,,1,1,Subject,2,2,Yes
,,,,,,,
,,1,1,,,,
,6,,1,Subject,1,1,
,,,1,Me,3,1,Yes
,,1,,,,,
,,1,1,,,,
,,,,,,,
,7,,,Me,1,1,Yes
,,1,1,,,,
,,,1,,,,
,,,1,,,,
,,,,,,,
7,1,2,1,Subject,1,1,
,,2,2,Me,3,1,No
,,,2,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,2,1,1,Subject,2,2,Yes
,,,1,,,,
,,1,,,,,
,,,,,,,
,,1,2,,,,
,,2,,,,,
,3,3,1,Subject,1,1,
,,,,Me,4,1,No
,,1,1,,,,
,,,,,,,
,,,,,,,
,,1,1,,,,
,4,3,1,Subject,1,1,
,,1,,Me,2,1,
,,,,Subject,3,1,
,,,,Me,4,1,Yes
,,,,,,,
,,1,1,,,,
,5,1,,Subject,1,1,
,,2,1,Me,2,1,
,,,,Subject,3,1,Yes
,,1,,,,,
,,,,,,,
,,1,,,,,
8,1,,,Me,2,2,
,,2,1,Subject,3,2,
,,,,Me,1,3,
,,,3,Subject,3,4,No
,,1,,,,,
,,2,1,,,,
,2,,1,Me,1,2,
,,1,2,Subject,3,2,No
,,1,1,,,,
,,,1,,,,
,,1,,,,,
,,1,,,,,
,3,2,,Me,2,1,
,,1,1,Subject,2,3,
,,,4,Me,3,3,
,,,,Subject,4,3,No
,,,,,,,
,,,,,,,
,4,1,1,Me,1,1,
,,,2,Subject,2,1,
,,,1,Me,1,4,
,,1,1,Subject,3,4,
,,,,Me,4,4,Yes
,,,,,,,
,5,,,Me,1,1,
,,,1,Subject,1,2,
,,,,Me,2,2,
,,,1,Subject,2,5,
,,,3,Me,3,2,Yes
,,1,,,,,
9,1,2,1,Subject,1,1,
,,1,1,Me,2,1,
,,,2,Subject,3,1,
,,,,Me,4,1,Yes
,,2,,,,,
,,,1,,,,
,2,,,Me,2,5,
,,2,,Subject,3,5,
,,,2,Me,4,5,Yes
,,,1,,,,
,,2,1,,,,
,,,1,,,,
,3,1,1,Me,1,1,
,,,,Subject,2,3,
,,1,2,Me,3,3,No
,,1,1,,,,
,,,,,,,
,,,1,,,,
,4,,1,Subject,2,3,
,,,,Me,4,3,Yes
,,2,1,,,,
,,,,,,,
,,,1,,,,
,,1,1,,,,
,5,,1,Me,1,1,
,,1,,Subject,2,1,Yes
,,,1,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,6,,,Subject,1,4,
,,2,,Me,2,2,
,,,,Subject,1,6,
,,,1,Me,2,4,
,,,,Subject,3,4,Yes
,,,1,,,,
,7,,,Subject,1,5,
,,,,Me,2,5,Yes
,,,,,,,
,,,,,,,
,,1,,,,,
,,1,1,,,,
,8,,,Me,1,5,
,,,,Subject,1,6,
,,,,Me,2,4,Yes
,,1,,,,,
,,,,,,,
,,,1,,,,
10,1,,1,Me,2,2,
,,2,1,Subject,3,2,
,,2,1,Me,4,2,Yes
,,,,,,,
,,1,2,,,,
,,,,,,,
,2,1,2,Me,1,1,
,,,,Subject,3,1,
,,,,Me,4,1,Yes
,,,,,,,
,,2,1,,,,
,,1,2,,,,
,3,,1,Me,1,1,
,,1,2,Subject,2,2,
,,,1,Me,3,2,No
,,1,,,,,
,,,,,,,
,,1,1,,,,
,4,,1,Subject,1,1,
,,1,,Me,1,2,No
,,,1,,,,
,,1,,,,,
,,,1,,,,
,,1,1,,,,
,5,1,1,Subject,1,1,
,,1,,Me,2,1,
,,,,Subject,3,2,Yes
,,1,,,,,
,,,1,,,,
,,,1,,,,
,6,1,,Subject,1,4,
,,1,,Me,2,4,
,,,,Subject,3,4,Yes
,,,1,,,,
,,,,,,,
,,1,1,,,,
,7,,,Subject,1,5,
,,1,,Me,2,4,
,,,,Subject,2,5,Yes
,,2,,,,,
,,,,,,,
,,,1,,,,
11,1,1,1,Subject,1,1,
,,1,,Me,2,1,
,,1,2,Subject,3,1,Yes
,,,2,,,,
,,1,,,,,
,,1,,,,,
,2,,,Subject,2,2,
,,1,1,Me,3,2,Yes
,,1,,,,,
,,1,1,,,,
,,,2,,,,
,,2,,,,,
,3,,1,Me,3,5,
,,1,1,Subject,4,5,Yes
,,,1,,,,
,,,1,,,,
,,3,,,,,
,,,,,,,
,4,,1,Subject,1,1,
,,2,,Me,3,1,Yes
,,,,,,,
,,,1,,,,
,,1,,,,,
,,1,1,,,,
,5,1,,Me,2,3,
,,,,Subject,3,3,Yes
,,,1,,,,
,,,,,,,
,,,,,,,
,,2,2,,,,
,6,,,Subject,1,3,
,,,,Me,3,3,No
,,2,1,,,,
,,1,,,,,
,,,1,,,,
,,,,,,,
,7,2,,Subject,1,1,
,,1,,Me,3,1,Yes
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,8,1,,Me,1,1,
,,,,Subject,2,1,Yes
,,,,,,,
,,,,,,,
,,,1,,,,
,,1,,,,,
12,1,2,,Me,2,1,
,,2,1,Subject,3,4,No
,,1,,,,,
,,,3,,,,
,,,1,,,,
,,,,,,,
,2,1,1,Me,3,3,
,,,1,Subject,4,3,
,,3,2,Me,5,3,No
,,,1,,,,
,,,,,,,
,,,,,,,
,3,1,1,Subject,2,1,
,,1,1,Me,3,1,
,,1,1,Subject,2,3,
,,,1,Me,3,3,Yes
,,1,,,,,
,,,,,,,
,4,2,1,Me,2,1,
,,,,Subject,3,1,
,,,1,Me,2,2,Yes
,,1,,,,,
,,,2,,,,
,,,,,,,
,5,,,Me,1,1,
,,,,Subject,1,3,
,,1,1,Me,2,3,
,,,,Subject,3,3,
,,,1,Me,2,5,Yes
,,1,2,,,,
,6,1,,Me,1,1,
,,,,Subject,1,3,
,,,,Me,2,3,Yes
,,,1,,,,
,,,2,,,,
,,,1,,,,
13,1,,,Me,1,2,
,,1,1,Subject,2,2,
,,,2,Me,1,5,
,,1,,Subject,2,3,
,,3,2,Me,2,5,
,,,,Subject,3,5,
,,,,Me,4,5,No
,2,1,1,Subject,2,4,
,,,,Me,2,5,
,,,,Subject,3,5,
,,1,2,Me,4,5,Yes
,,3,,,,,
,,,1,,,,
,3,1,,Me,1,5,
,,,2,Subject,2,5,No
,,1,1,,,,
,,1,,,,,
,,1,1,,,,
,,,,,,,
,4,,1,Me,1,5,
,,,2,Subject,1,6,
,,,,Me,2,6,No
,,,1,,,,
,,2,,,,,
,,1,,,,,
,5,1,1,Me,1,1,
,,,2,Subject,1,2,
,,,,Me,2,2,
,,,,Subject,3,2,Yes
,,,,,,,
,,1,1,,,,
,6,,2,Subject,2,1,No
,,,1,,,,
,,,,,,,
,,1,,,,,
,,1,,,,,
,7,,1,Me,1,4,No
,,,,,,,
,,,1,,,,
,,1,,,,,
,,,1,,,,
,,,,,,,
,8,,1,Subject,1,3,
,,,,Me,1,4,Yes
,,1,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
14,1,,2,Subject,3,5,
,,,,Me,1,6,
,,2,,Subject,2,6,Yes
,,2,1,,,,
,,1,2,,,,
,,,,,,,
,2,2,,Subject,1,1,
,,,,Me,2,1,
,,1,1,Subject,2,5,
,,1,1,Me,3,5,
,,1,2,Subject,4,5,Yes
,,,,,,,
,3,1,,Subject,1,5,
,,2,,Me,2,5,
,,1,1,Subject,3,5,Yes
,,,1,,,,
,,1,1,,,,
,,,,,,,
,4,,,Subject,1,2,
,,1,,Me,1,3,
,,,1,Subject,1,4,
,,2,1,Me,1,5,
,,2,,Subject,2,3,Yes
,,,,,,,
,5,1,,Subject,1,5,No
,,1,,,,,
,,1,,,,,
,,1,,,,,
,,,1,,,,
,,1,,,,,
,6,1,,Me,1,1,
,,,,Subject,1,2,
,,,1,Me,1,5,
,,,,Subject,2,3,No
,,2,,,,,
,,1,,,,,
15,1,,,Me,1,2,
,,3,,Subject,2,3,
,,,2,Me,3,3,
,,,,Subject,3,6,No
,,1,,,,,
,,1,3,,,,
,2,1,1,Me,1,1,
,,1,,Subject,2,1,
,,,,Me,1,2,
,,1,,Subject,3,5,
,,,3,Me,1,6,
,,1,1,Subject,2,6,
,,,,Me,3,6,Yes
,3,1,,Me,1,1,
,,,1,Subject,1,2,
,,,1,Me,1,3,
,,,2,Subject,2,3,Yes
,,1,1,,,,
,,1,,,,,
,4,,2,Subject,2,1,No
,,1,,,,,
,,,,,,,
,,1,,,,,
,,,1,,,,
,,1,1,,,,
,5,1,1,Me,1,2,
,,,2,Subject,2,2,No
,,,1,,,,
,,,,,,,
,,1,,,,,
,,,,,,,
,6,,,Me,1,2,
,,1,,Subject,2,3,Yes
,,,2,,,,
,,,1,,,,
,,,,,,,
,,,1,,,,
16,1,1,3,Me,1,1,
,,1,1,Subject,4,1,No
,,,,,,,
,,,,,,,
,,3,1,,,,
,,,,,,,
,2,2,,Me,1,1,
,,,2,Subject,3,2,
,,1,1,Me,1,3,
,,1,1,Subject,2,3,
,,,,Me,1,4,
,,,1,Subject,2,4,No
,3,,1,Me,1,1,
,,1,2,Subject,2,2,
,,,,Me,3,2,
,,1,2,Subject,2,4,
,,1,,Me,3,4,No
,,,,,,,
,4,1,1,Subject,2,5,
,,,1,Me,1,6,
,,,,Subject,2,6,No
,,1,,,,,
,,,1,,,,
,,1,1,,,,
,5,,,Me,1,1,
,,,1,Subject,2,4,
,,1,,Me,1,6,Yes
,,1,2,,,,
,,,1,,,,
,,,,,,,
,6,,1,Me,1,5,
,,,,Subject,2,5,
,,,1,Me,1,6,
,,,1,Subject,2,6,No
,,1,1,,,,
,,,,,,,
,7,1,,Subject,2,2,
,,,2,Me,1,6,Yes
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
17,1,,,Subject,3,4,
,,2,1,Me,4,4,No
,,1,1,,,,
,,2,2,,,,
,,,,,,,
,,,1,,,,
,2,1,1,Subject,2,5,
,,1,,Me,1,6,Yes
,,3,1,,,,
,,,1,,,,
,,,1,,,,
,,,,,,,
,3,,1,Me,1,1,
,,1,1,Subject,2,5,
,,1,,Me,1,6,No
,,1,1,,,,
,,,1,,,,
,,1,,,,,
,4,1,,Subject,2,5,
,,,1,Me,3,5,No
,,,,,,,
,,,,,,,
,,1,2,,,,
,,2,,,,,
,5,,,Subject,1,6,
,,2,,Me,2,6,No
,,1,,,,,
,,,,,,,
,,,1,,,,
,,1,1,,,,
,6,,,Subject,1,6,
,,1,,Me,2,6,No
,,,1,,,,
,,1,,,,,
,,,,,,,
,,2,,,,,
18,1,2,,Me,2,1,
,,1,,Subject,2,4,
,,2,,Me,1,6,
,,,2,Subject,3,6,No
,,,1,,,,
,,,2,,,,
,2,1,1,Subject,1,1,
,,,2,Me,1,3,
,,2,1,Subject,2,3,
,,2,,Me,3,3,No
,,,,,,,
,,,,,,,
,3,1,,Subject,1,4,
,,,,Me,1,6,
,,1,,Subject,2,6,
,,,1,Me,3,6,Yes
,,1,2,,,,
,,2,,,,,
,4,,,Me,1,6,
,,1,,Subject,2,6,
,,,2,Me,3,6,No
,,1,,,,,
,,,,,,,
,,2,1,,,,
,5,1,,Subject,1,6,
,,,1,Me,2,6,Yes
,,,,,,,
,,3,1,,,,
,,,,,,,
,,,,,,,
,6,2,,Me,1,6,
,,,1,Subject,2,6,No
,,,,,,,
,,,,,,,
,,,,,,,
,,1,1,,,,
,7,1,,Me,1,6,
,,,,Subject,2,6,Yes
,,,,,,,
,,,,,,,
,,1,1,,,,
,,,1,,,,
,8,,,Subject,1,6,
,,1,,Me,2,6,Yes
,,,,,,,
,,,1,,,,
,,,,,,,
,,1,,,,,
,9,,1,Me,1,1,
,,,,Subject,1,2,
,,1,,Me,1,3,No
,,,,,,,
,,,,,,,
,,,,,,,
19,1,1,1,Subject,3,4,
,,3,1,Me,1,6,
,,,,Subject,2,6,Yes
,,,2,,,,
,,,1,,,,
,,1,,,,,
,2,,,Subject,2,4,
,,,1,Me,2,5,
,,,,Subject,1,6,
,,,1,Me,2,6,No
,,4,1,,,,
,,1,1,,,,
,3,,1,Subject,2,6,
,,1,,Me,3,6,Yes
,,1,1,,,,
,,1,,,,,
,,1,,,,,
,,1,1,,,,
,4,,,Me,2,2,
,,3,2,Subject,4,2,
,,,,Me,5,2,No
,,,1,,,,
,,,,,,,
,,1,,,,,
,5,2,1,Subject,1,5,
,,2,,Me,1,6,Yes
,,,,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,6,,,Me,1,3,
,,,1,Subject,3,3,
,,2,1,Me,4,3,Yes
,,,,,,,
,,1,,,,,
,,,,,,,
,7,,,Me,1,3,
,,,1,Subject,1,6,
,,1,,Me,2,6,Yes
,,,,,,,
,,1,,,,,
,,,1,,,,
,8,1,2,Me,1,1,
,,,,Subject,1,3,Yes
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,9,,,Subject,1,2,
,,,1,Me,1,4,No
,,,,,,,
,,1,,,,,
,,,,,,,
,,,,,,,
20,1,1,,Me,1,1,
,,,2,Subject,2,2,
,,,,Me,1,4,
,,1,1,Subject,2,4,
,,1,1,Me,1,5,
,,2,,Subject,1,6,
,,,,Me,2,6,No
,2,1,1,Subject,1,1,
,,,,Me,2,1,
,,1,3,Subject,3,3,
,,1,,Me,1,4,
,,,,Subject,1,6,
,,2,,Me,2,6,No
,3,3,,Subject,1,1,
,,1,2,Me,3,1,
,,1,,Subject,1,3,
,,,,Me,2,3,Yes
,,,,,,,
,,,1,,,,
,4,1,,Me,1,5,
,,1,1,Subject,2,5,
,,,,Me,1,6,No
,,,1,,,,
,,1,1,,,,
,,1,,,,,
,5,1,,Subject,1,2,
,,1,,Me,1,4,
,,,2,Subject,1,5,
,,1,,Me,1,6,No
,,,,,,,
,,1,,,,,
,6,,,Subject,1,1,
,,1,,Me,1,2,
,,,,Subject,1,5,
,,1,,Me,1,6,No
,,1,1,,,,
,,1,,,,,
21,1,,,Subject,1,2,
,,1,,Me,1,3,
,,3,3,Subject,4,3,
,,,1,Me,5,3,No
,,,1,,,,
,,1,,,,,
,2,1,,Subject,1,2,
,,,,Me,1,3,
,,2,2,Subject,3,3,
,,,1,Me,1,6,
,,1,,Subject,2,6,Yes
,,1,1,,,,
,3,1,,Me,1,1,
,,,2,Subject,2,2,
,,,,Me,1,5,
,,,1,Subject,2,6,
,,1,,Me,3,6,No
,,2,1,,,,
,4,1,,Subject,1,4,
,,,,Me,3,4,
,,,,Subject,2,6,No
,,3,1,,,,
,,,,,,,
,,,2,,,,
,5,1,1,Me,1,3,
,,,,Subject,1,4,
,,1,,Me,1,5,
,,,,Subject,2,5,
,,,1,Me,1,6,
,,1,1,Subject,2,6,No
,6,,,Me,1,4,
,,,1,Subject,2,4,
,,,1,Me,3,4,
,,2,1,Subject,1,5,
,,,,Me,1,6,Yes
,,,,,,,
,7,,3,Me,1,6,No
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,8,1,,Subject,1,1,
,,,,Me,1,5,
,,,1,Subject,1,6,Yes
,,,1,,,,
,,,,,,,
,,,,,,,
,9,,,Subject,1,6,Yes
,,,,,,,
,,1,1,,,,
,,,,,,,
,,,,,,,
,,1,1,,,,
22,1,1,2,Me,1,3,
,,,1,Subject,2,3,
,,2,1,Me,3,3,
,,1,,Subject,1,5,
,,1,1,Me,2,5,
,,,,Subject,1,6,
,,,,Me,2,6,Yes
,2,1,,Me,1,1,
,,,1,Subject,2,2,
,,1,1,Me,1,3,
,,1,2,Subject,2,3,
,,,1,Me,1,4,
,,1,,Subject,2,4,
,,,,Me,1,6,No
,3,,,Subject,1,2,
,,1,2,Me,1,3,
,,1,,Subject,1,4,
,,1,,Me,1,5,
,,1,2,Subject,2,5,No
,,,,,,,
,4,,,Me,1,3,
,,,1,Subject,3,3,
,,1,2,Me,1,5,
,,,,Subject,1,6,No
,,2,,,,,
,,,1,,,,
,5,,1,Me,1,6,
,,,,Subject,2,6,Yes
,,1,1,,,,
,,,,,,,
,,1,2,,,,
,,,,,,,
,6,,2,Subject,1,1,
,,,,Me,1,2,
,,1,,Subject,1,6,Yes
,,,,,,,
,,1,1,,,,
,,,,,,,
,7,,,Subject,2,3,
,,1,,Me,1,6,No
,,,2,,,,
,,,,,,,
,,,,,,,
,,1,,,,,
,8,1,,Subject,1,1,
,,,,Me,1,3,
,,1,,Subject,1,4,No
,,,1,,,,
,,,,,,,
,,,,,,,
,9,1,,Me,1,1,No
,,,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
23,1,,,Subject,3,3,
,,1,1,Me,1,5,
,,1,1,Subject,2,5,
,,,,Me,3,5,
,,2,1,Subject,2,6,
,,1,2,Me,3,6,
,,,,Subject,4,6,Yes
,2,1,2,Subject,2,1,
,,,,Me,2,3,
,,2,1,Subject,3,3,
,,1,,Me,1,4,
,,,,Subject,1,6,
,,1,1,Me,2,6,
,,,,Subject,3,6,Yes
,3,1,,Subject,1,5,
,,,2,Me,1,6,
,,,,Subject,2,6,Yes
,,2,,,,,
,,1,1,,,,
,,1,,,,,
,4,,,Subject,1,1,
,,,,Me,1,6,
,,2,2,Subject,2,6,Yes
,,,,,,,
,,2,,,,,
,,1,,,,,
,5,,1,Subject,1,1,No
,,,,,,,
,,3,,,,,
,,,,,,,
,,,,,,,
,,2,,,,,
,6,2,,Me,1,1,
,,,,Subject,1,2,
,,,,Me,1,5,
,,,,Subject,2,5,
,,1,1,Me,1,6,No
,,1,,,,,
24,1,,1,Me,1,1,
,,4,3,Subject,3,1,
,,1,,Me,2,2,
,,,,Subject,5,2,
,,,,Me,6,2,
,,,1,Subject,1,5,
,,,,Me,1,6,
,,,,Subject,2,6,Yes
,2,2,,Subject,2,2,
,,2,2,Me,3,2,
,,,,Subject,4,2,
,,1,,Me,5,2,
,,,2,Subject,1,5,
,,,,Me,2,5,
,,,,Subject,3,5,Yes
,3,2,,Subject,1,6,No
,,,1,,,,
,,2,,,,,
,,1,,,,,
,,,,,,,
,,,2,,,,
,4,3,,Me,2,1,
,,1,,Subject,2,3,
,,,1,Me,1,5,
,,,2,Subject,1,6,Yes
,,,,,,,
,,,,,,,
,5,,,Subject,1,3,
,,2,,Me,1,4,
,,,1,Subject,2,4,
,,1,1,Me,1,5,
,,1,,Subject,1,6,Yes
,,,,,,,
,6,,,Subject,1,3,No
,,1,,,,,
,,,1,,,,
,,,,,,,
,,1,,,,,
,,2,,,,,
,7,,,Me,1,2,
,,2,,Subject,1,3,
,,,1,Me,1,5,
,,,,Subject,2,5,Yes
,,1,,,,,
,,,,,,,
25,1,,,Subject,1,1,
,,,3,Me,1,4,
,,1,1,Subject,2,4,
,,3,1,Me,4,4,
,,,,Subject,1,6,
,,1,,Me,2,6,Yes
,,,,,,,
,2,,2,Me,1,1,
,,,2,Subject,3,1,Yes
,,1,,,,,
,,1,1,,,,
,,1,,,,,
,,1,,,,,
,3,,1,Subject,1,1,
,,,1,Me,1,2,
,,1,1,Subject,2,2,Yes
,,2,1,,,,
,,,,,,,
,,1,,,,,
,4,,1,Subject,1,4,
,,1,,Me,1,5,
,,1,1,Subject,2,5,
,,,,Me,1,6,No
,,1,1,,,,
,,1,,,,,
,5,2,,Subject,1,2,
,,,1,Me,1,6,
,,,1,Subject,2,6,Yes
,,1,,,,,
,,,,,,,
,,1,,,,,
,6,1,1,Subject,1,1,
,,,,Me,2,6,No
,,,,,,,
,,,,,,,
,,1,,,,,
,,2,,,,,
26,1,,,Me,3,2,
,,3,2,Subject,4,2,
,,,1,Me,1,6,
,,,,Subject,2,6,Yes
,,2,1,,,,
,,,1,,,,
,2,,3,Subject,4,1,
,,1,1,Me,2,5,
,,1,,Subject,1,6,Yes
,,1,,,,,
,,2,,,,,
,,,,,,,
,3,,,Subject,1,2,
,,,,Me,2,3,
,,4,,Subject,1,4,
,,,2,Me,1,5,
,,1,1,Subject,2,5,
,,,,Me,1,6,Yes
,4,,,Me,1,4,
,,,,Subject,2,4,
,,1,1,Me,3,4,
,,2,2,Subject,4,4,
,,,,Me,1,6,No
,,1,,,,,
,5,1,1,Subject,1,1,
,,,,Me,1,5,
,,,,Subject,2,5,
,,1,,Me,1,6,No
,,1,1,,,,
,,1,,,,,
,6,1,1,Subject,1,1,
,,,,Me,1,5,
,,,,Subject,1,6,Yes
,,1,,,,,
,,2,,,,,
,,,,,,,
27,1,,1,Subject,1,1,
,,1,1,Me,1,2,
,,1,2,Subject,3,3,
,,1,1,Me,2,5,
,,,,Subject,1,6,
,,2,,Me,2,6,No
,2,,1,Subject,1,1,
,,,1,Me,1,3,
,,3,,Subject,2,4,
,,,1,Me,2,6,
,,,,Subject,3,6,No
,,2,1,,,,
,3,,,Me,1,1,
,,1,1,Subject,1,2,
,,1,,Me,1,3,
,,1,,Subject,1,5,
,,,1,Me,1,6,
,,1,2,Subject,2,6,No
,4,,,Me,1,1,
,,,,Subject,1,4,
,,1,,Me,2,4,
,,2,1,Subject,1,5,
,,,1,Me,1,6,
,,,2,Subject,2,6,No
,5,,1,Me,1,6,No
,,,,,,,
,,1,2,,,,
,,,,,,,
,,,1,,,,
,,1,,,,,
,6,1,,Subject,1,3,
,,,,Me,2,3,
,,1,1,Subject,1,4,
,,,1,Me,1,6,
,,,,Subject,2,6,Yes
,,,1,,,,
,7,,2,Subject,1,1,
,,,,Me,1,3,
,,2,,Subject,1,6,
,,,,Me,2,6,Yes
,,,,,,,
,,,,,,,
,8,,1,Me,1,2,
,,,,Subject,1,3,
,,,,Me,1,5,
,,,,Subject,2,5,
,,1,1,Me,1,6,Yes
,,,,,,,
28,1,,1,Me,1,6,No
,,1,1,,,,
,,1,2,,,,
,,,1,,,,
,,1,,,,,
,,2,,,,,
,2,2,1,Subject,1,5,
,,,1,Me,1,6,
,,,,Subject,2,6,
,,,,Me,3,6,No
,,,1,,,,
,,3,1,,,,
,3,1,,Subject,1,3,
,,,,Me,1,4,
,,1,1,Subject,1,5,
,,2,,Me,1,6,
,,,1,Subject,2,6,No
,,1,1,,,,
,4,1,,Me,1,1,
,,3,1,Subject,1,6,Yes
,,,1,,,,
,,,,,,,
,,,1,,,,
,,,,,,,
,5,1,,Subject,1,3,
,,1,,Me,1,4,
,,,,Subject,1,5,
,,,,Me,2,5,
,,2,2,Subject,3,5,No
,,,,,,,
,6,,,Me,1,6,Yes
,,1,,,,,
,,1,1,,,,
,,,1,,,,
,,1,,,,,
,,,,,,,
,7,,1,Me,1,2,
,,,,Subject,1,3,
,,2,,Me,2,3,No
,,,1,,,,
,,,,,,,
,,,,,,,
